Affirmation,Tag
A loving relationship now brightens my life,love
All my relationships are loving,love
All of my interactions are harmonious,love
All relationships in my life are harmonious and empowering,love
I accept a perfect loving relationship with open arms,love
I allow love to find me easily and effortlessly,love
I am a great catch,love
I am a love magnet,love
"I am attracting a loving, supportive soul mate",love
 I am attracting my perfect lover right now,love
 I am attracting my perfect soul mate,love
 I am attracting the perfect companion for me,love
 I am confident around members of the opposite sex,love
 I am creating room in my life for my soul mate,love
 I now draw toward me fulfilling and loving relationships,love
" I now attract an affectionate, loving partner",love
 I seek out relationships with people who empower me,love
 I share my life with a perfect soul mate,love
 I am drawing love and romance into my life today,love
 I am enjoying a fulfilling and loving relationship,love
 I am a skilled lover,love
" I am a warm, giving person",love
 I am cherished and valued,love
" I am deeply loved, and love deeply in return",love
 I am greeted by love wherever I go,love
 I am romantically contented,love
" I am surrounded by loving, caring people",love
 I make decisions that come from my heart,love
 I manifest love into my life by thinking loving thoughts,love
 I open my heart to love,love
 I radiate love and happiness wherever I go,love
" I radiate pure, unconditional love to all the people in my life",love
 I welcome all the wonder and glory of life into my heart,love
 I live each and every day with perfect love,love
 The power of love is guiding me in all ways,love
 Love and peace surrounds my life at all times,love
 Love fills my entire world,love
 Love greets me in every situation in my life,love
 Love is all around me.,love
 My heart and mind are open to giving and receiving love,love
 My heart grows more open and loving every day,love
 My heart is always open to love,love
 My heart is filled with love,love
 My life is filled with joyous love,love
" My life is filled with loving, caring people",love
 My life is illuminated by the loving relationships with which I am blessed,love
 My love life just keeps getting better and better,love
 My thoughts are always loving and truthful,love
 My true love is on their way to me,love
 My very being radiates love and appreciation,love
 My world is full of love and joy.,love
I only engage in activities which are healthy and life-enhancing,health
A greater sense of well-being fills my consciousness every day,health
Every breath I take elevates my mood and energizes my body,health
An aura of perfect well-being surrounds my body and mind,health
I maintain my ideal body weight easily and effortlessly,health
All my thoughts are of abundant health and well-being,health
All the cells in my body resonate in perfect harmony,health
Perfect health courses through every cell in my body,health
I send love and gratitude to every part of my body,health
 Every cell in my body exudes health and vitality,health
" I am infused with inner peace, vitality, and joy",health
 Divine life flows through every cell in my body,health
 A complete sense of well-being infuses my life,health
 Every cell in my body vibrates with well-being,health
 Perfect well-being surrounds my body and mind,health
 My choices are intelligent and life-enhancing,health
 I am immensely grateful for my perfect health,health
 I am in constant possession of perfect health,health
 I love how wonderful and strong my body feels,health
 My cells absorb well-being throughout the day,health
 I am a perfect example of fitness and health,health
 I have a strong and effective immune system,health
" I only think healthy, empowering thoughts",health
 My body is a reflection of perfect health,health
 I am blessed with strength and wholeness,health
 All of my thoughts are healthy thoughts,health
 I am blessed with perpetual well-being,health
 I am full of radiant health and energy,health
 I enjoy optimum health now and forever,health
 I enjoy perfect health and well-being,health
 I am the embodiment of perfect health,health
 I am the embodiment of well-being,health
 I am blessed with abundant health,health
" I am healthy, whole, and complete",health
 I am always healthy and it shows,health
" I am fit, healthy and attractive",health
 My skin is clear and radiant,health
I am supernaturally beautiful.,beauty
I glow with supernatural beauty.,beauty
I radiate supernatural beauty from within.,beauty
I am supernaturally perfect in every way.,beauty
I am supernaturally flawless in every way.,beauty
My presence is supernaturally powerful.,beauty
I am supernaturally beautiful inside out.,beauty
My beauty radiates vibrantly from within.,beauty
I am glowing with inner and outer beauty.,beauty
 All desired and beneficial changes in myself are permanent.,beauty
 I rapidly make these affirmations my reality.,beauty
 I now accept these affirmations as my truth.,beauty
 I let go of all negative thoughts and beliefs I have about myself.,beauty
 I heal my mentality and inner self more and more every day,beauty
 I am manifesting my ideal face and body now.,beauty
 I am manifesting my desired facial and body features now.,beauty
" I radiate positive, good vibes to everyone around me.",beauty
 Why am I so sexy?,beauty
 Why am I so gorgeous?,beauty
 Why am I so beautiful?,beauty
 I love and accept myself now.,beauty
 I love and accept myself unconditionally.,beauty
 I am extremely confident and strong.,beauty
 I love and accept myself exactly as I am now.,beauty
 I am happy and free.,beauty
 I express myself freely and easily.,beauty
 I am extremely great to be around.,beauty
 I am extremely fun to be around.,beauty
 I am admired and loved by everyone.,beauty
 Everyone loves being around me.,beauty
 Everyone loves being with me.,beauty
 I easily make new friends and talk to new people.,beauty
 I instantly make everyone around me feel amazing.,beauty
 I instantly make everyone around me happy.,beauty
 I am free spirited and positive.,beauty
" Everyone can sense my unique, amazing, vibrant energy.",beauty
" I glow with happiness, love and gratitude.",beauty
" I spread love, happiness and gratitude everywhere I go.",beauty
 I am an amazing person.,beauty
 I am an extremely beautiful individual.,beauty
 I am an extremely unique individual.,beauty
 I am so grateful for everything in my life.,beauty
 I am so grateful for myself and the experiences I attract.,beauty
" My life is filled with happiness, love and amazing experiences.",beauty
" I have an amazing, beautiful personality.",beauty
" I have a fun, spontaneous personality.",beauty
" I am a loving, caring, kind individual.",beauty
" I have a unique, wonderful personality.",beauty
 I am extremely friendly and nice to everyone.,beauty
 I am unforgettable.,beauty
" Everyone’s mood instantly changes to an amazing mood when they are around
me.",beauty
 I am respected and admired by everyone.,beauty
 I am extremely special.,beauty
 Everyone feels lucky to know me.,beauty
 I am one of a kind.,beauty
 I am confident in myself and everything I do.,beauty
 I am humble and down to earth.,beauty
 I now attract experiences that reflect these affirmations.,beauty
 Everyone is equal and beautiful in my eyes.,beauty
 I see the good and love in every individual that crosses my path.,beauty
 I touch every individual that crosses my path in the most positive way.,beauty
 I inspire others just by being myself.,beauty
 I am an amazing influence on everyone that knows me.,beauty
 I make everyone feel at ease and comfortable around me.,beauty
 Everybody feels comfortable being themselves around me.,beauty
" I am helpful, supportive and understanding.",beauty
 I am free spirited and open minded.,beauty
 I am a natural leader.,beauty
 I am open minded and wise.,beauty
 I am extremely funny.,beauty
 I am goofy and spontaneous.,beauty
 I am an amazing conversationalist.,beauty
 People crave my friendship and attention.,beauty
 I am perfection.,beauty
 I am love.,beauty
 I am beauty.,beauty
 I am happiness,beauty
"The peace inside of my heart is the peace that is deeper than all
understanding",gratitude
"Like the depths of the ocean, my mind is calm and peaceful at each moment",gratitude
I experience gratitude for everything I have in my life,gratitude
I always receive exactly what I ask for and appreciate that,gratitude
"I am grateful for excellent health, prosperity and true love",gratitude
My life is filled with an abundance of goodness,gratitude
Gratitude brings me into a harmonious relationship with everyone.,gratitude
"Happiness expands within me, it lightens my life and touches everyone I
meet",gratitude
Joy floods my thoughts and my life,gratitude
 I release all negativity and hold joy in my heart,gratitude
 I am overcome with gratitude for the bliss that fills my life.,gratitude
 I accept the good that is flowing into my life,gratitude
 I display a natural sense of wonder,gratitude
 My whole world is viewed through the eyes of wonder and excitement.,gratitude
" I view life through innocence, purity and curiosity",gratitude
 Everything is mysterious and absolutely incredible,gratitude
" I am learning to trust again, I let go and let God",gratitude
 I am worthy to receive the unlimited offerings of the Universe,gratitude
 I affirm only the best for myself and others,gratitude
" God’s wisdom illumines me, casting light on my path",gratitude
 I am so grateful for supportive friends and a loving family,gratitude
 I appreciate everything I have in my life,gratitude
 I am always open to receive more blessings,gratitude
 I see the beauty in nature that surrounds me,gratitude
 I give thanks for the helpful people that guide me in this life journey,gratitude
 I am filled with a calm that comes from God,gratitude
 I am graced with God’s creative energy.,gratitude
 I openly express the true nature of the Divine.,gratitude
 I am creatively expressing my highest potential.,gratitude
" I can relax and let God do all of the work, I flow with life",gratitude
" I am a powerful body, a powerful mind, and a powerful soul",gratitude
 I am accepted and loved by everyone I meet,gratitude
 I let the physics of unwavering faith do the marvelous work for me,gratitude
 The Divine breath flows through me and blesses me,gratitude
 I am a channel for love and healing,gratitude
" I affirm divine order, and all parts of my life fall into place",gratitude
 Everything I need comes to me,gratitude
" All is well in my life, I am truly blessed",gratitude
 All things are working together for good in my life,gratitude
 I dwell in the presence of God’s eternal love,gratitude
 All that my heart desires will come to pass,gratitude
" When I put my spiritual development first, all of my other needs are
fulfilled",gratitude
 Higher wisdom expresses itself daily in all aspects of my life,gratitude
 Life is unfolding perfectly,gratitude
 Life has great things in store for me,gratitude
 I give thanks and praise for all things,gratitude
 I welcome positive change into my life,gratitude
 I learn from every situation I encounter,gratitude
 I am continually aligned with my higher purpose,gratitude
" At every turn, good fortune appears before me",gratitude
 My faith is making me whole,gratitude
 My environment is peaceful and serene,gratitude
 Joy is in my heart and in my life.,gratitude
 I project joy to everyone I interact with,gratitude
 I live in a natural state of joyfulness,gratitude
 I clearly see joy in my surroundings,gratitude
 Joy is abundant all around me,gratitude
 Joy builds within my soul and bursts into my life in unexpected ways,gratitude
 I joyfully honor the flow of life,gratitude
 Divine love washes over me and delivers me to blissful places,gratitude
 Joy is mine right here right now.,gratitude
 Through gratitude my world expands,gratitude
 I acknowledge the blessings I have received in my life with gratitude,gratitude
 I give thanks continually as I move through each day,gratitude
I am worthy and open to receive blessings,spiritual
My life is a blessing to others,spiritual
My days are filled with blessings,spiritual
I bless everyone I meet today,spiritual
I feel blessed today,spiritual
I trust my life is divinely guided,spiritual
I trust the outcomes in my life are for the best,spiritual
I trust that all that I need comes to me when needed,spiritual
I feel safe trusting God in my life,spiritual
 I trust I am exactly where I am supposed to be now,spiritual
 I can trust life,spiritual
 I am in harmony with divine guidance,spiritual
 I automatically live in trust,spiritual
 I trust that everything works for the highest good,spiritual
 I choose love as my response to others,spiritual
 I think loving thoughts about everyone,spiritual
 I feel divine love in my heart,spiritual
 I make choices that are deeply loving,spiritual
 The love in my heart expands and grows daily,spiritual
 My intentions are always loving and kind,spiritual
 I feel deep love in my core,spiritual
 I live in an ocean of divine love,spiritual
 My love is unconditional,spiritual
 I am an expression of divine love,spiritual
 I love the divine spirit within me,spiritual
 Positive healing energy flows easily through me,spiritual
 I am open to receiving divine healing,spiritual
 I take good care of myself,spiritual
 I feel divine healing,spiritual
 My body is a holy temple,spiritual
 I am well taken care of by God,spiritual
 I receive the healing presence of God,spiritual
 I am open to receive abundant gifts from God,spiritual
 I am open to all possibilities for abundance,spiritual
 I accept the abundance the universe gives me,spiritual
 I am open to receive something wonderful today,spiritual
 I receive prosperity without limits,spiritual
 I feel prosperous,spiritual
 I am a source of abundance,spiritual
 God's abundance manifests through me,spiritual
 I thank God for what I have,spiritual
 I am a grateful person,spiritual
 I am at peace with all I have been given,spiritual
 I am thankful for my healing and health,spiritual
 I thank God for what is revealed to me,spiritual
 I acknowledge God in all creation,spiritual
 I love God and God loves me,spiritual
 I surrender my life to divine will,spiritual
 I feel the deep peace of God,spiritual
 I ask God's angels to surround me with light,spiritual
 I allow God to work through me,spiritual
 I am open and receive God's guidance,spiritual
 I feel God in my heart,spiritual
 I surrender into the arms of God,spiritual
 God lives in me and through me,spiritual
I find my own happiness now,happiness
I let go of everything I can’t control,happiness
I am experiencing joy at the highest vibration.,happiness
I accept peace and joy in all aspects of my life.,happiness
My ideal life is created by my choice to be joyful now.,happiness
Following my joy reveals the path to my best life.,happiness
My choice to be happy keeps me in perfect health.,happiness
Joyful dreams of love surround me everywhere.,happiness
I create the life I desire with my good feelings.,happiness
 Everything is always working out well for me.,happiness
 When I feel happy I manifest more reasons to be happy.,happiness
 Joy is the essence of my being.,happiness
 Joy is a healing choice and I choose it for myself now.,happiness
 I am fruitful and I create more love and joy in the world.,happiness
 I am organized and have a home full of joy and peace.,happiness
 My life is full of joy.,happiness
 My inner joy expands when I share it with others.,happiness
 I find happiness in each moment.,happiness
 My happiness is reflected back to me in everything I attract.,happiness
 My inner joy is the source of all the good in my life.,happiness
 I experience joy in everything I do.,happiness
" I am love, I am abundance, I am joy, I am happiness. ",happiness
 I wake up every new morning to love and joy.,happiness
 I smile through my beautiful eyes.,happiness
 I am willing to be happy now.,happiness
 I accept that happiness is my true nature.,happiness
 I am worthy of feeling happy.,happiness
 My happiness comes from within me.,happiness
 I accept every part of myself with unconditional love.,happiness
 I see so many positives in my life.,happiness
 I am constantly creating everything my heart desires.,happiness
 I experience joy in everything I do.,happiness
 I feel happy with myself as a person.,happiness
 I give myself permission to enjoy myself.,happiness
 I allow myself to feel good.,happiness
 The happiness I feel is felt by everyone around me.,happiness
 I create the possibility of happiness for others by being happy.,happiness
 I am meant to live a happy life.,happiness
"As I feel good about money, money must come.",money
Attracting money is fun if I relax and allow it.,money
Every day I am receiving more and more money.,money
Financial resources are lining up for me now.,money
Feeling joyful is a great way to attract money.,money
I am now earning a lot of money.,money
I am a money magnet.,money
I am financially independent and free.,money
I am open to receive.,money
" I am prosperous, money flows to me from many sources.",money
 I am comfortable having large sums of money.,money
 I always have more than enough money to meet my needs.,money
 I always have more money coming in than going out. ,money
 I am always earning more money than what I spend.,money
 I always have more than enough money.,money
 I always choose to focus on abundance.,money
 I always have more than enough money to pay my bills.,money
 I always have great practical ideas for making money.,money
 I align with receiving money when I feel good.,money
 I appreciate money for things it can provide.,money
 I believe that money is flowing to me now.,money
 I can feel more money flowing to me easily.,money
 I choose to feel good about money now.,money
 I deserve to have plenty of money.,money
 I have unlimited abundance.,money
 I love spending money on things that create joy.,money
 I make money quickly easily and have fun.,money
 I now give and receive freely.,money
 I receive money just by thinking luxuriously.,money
 I release my fears and doubts about money.,money
 I trust the universe to grow my abundance.,money
 I think positively about money and abundance.,money
 I will always have more than enough money.,money
 I welcome financial freedom and ease now.,money
 My financial abundance overflows today. ,money
 My inner guidance leads me to abundance.,money
 My thoughts about money constantly attract money into my life.,money
 My money is a source of good for myself and others. ,money
 My savings act as a magnet to draw more money.,money
 My wallet is overflowing with abundance of money.,money
 My positive state of mind is reflected in my positive bank balance.,money
 Money flows freely and abundantly into my life.,money
 Money flows in my life and I am prosperous.,money
 Money comes to me in fun and surprising ways.,money
 Money comes to me easily and effortlessly.,money
 I know that financial well-being is my right.,money
" Today is going to be a joyful, abundant day.",money
 Every day my belief in abundance grows.,money
 I am grateful for the ability to manifest money.,money
All my prospects bring me abundant good fortune.,blessing
Amazing coincidences come into my life on a regular basis.,blessing
"At every turn, opportunity appears before me.",blessing
Endless opportunities appear in my life.,blessing
Every day brings me endless joy.,blessing
Every day I am surrounded by an abundance of opportunities.,blessing
Everything I do brings me great success.,blessing
Fantastic new opportunities come into my life every day.,blessing
Fantastic opportunities greet me at every turn.,blessing
 Good news visits me regularly.,blessing
 Good things keep on happening to me.,blessing
 Great things keep blessing my life.,blessing
 I affirm abundant blessings and miracles throughout my day.,blessing
 I am a vacuum for beneficial circumstances.,blessing
 I expect great things to happen every day of my life.,blessing
 I expect the best and I always get it.,blessing
 I experience great blessings and miracles every day.,blessing
 I see endless opportunities before me.,blessing
 I welcome serendipity in my life.,blessing
 I am constantly offered great business opportunities. ,blessing
 I live each and every day with unlimited blessings and miracles.,blessing
 Miracles bless my life every day.,blessing
 My life is constantly attracting blessings and miracles.,blessing
 My positive mindset ensures that I am always blessed.,blessing
 My run of blessings and miracles is endless. ,blessing
 Serendipity is my constant companion.,blessing
 Terrific opportunities come to me every day.,blessing
" The smarter I work, the more blessed I am. ",blessing
 Things have a marvelous way of always working out for me.,blessing
 Things have an amazing way of always working in my favor.,blessing
 Today I bless my being with limitless good fortune. ,blessing
 Today I welcome abundant good luck into my life. ,blessing
" With every breath I take, I am bringing more blessings into my life.",blessing
 Positive things always happen to me.,blessing
 I always think positively. ,blessing
 My sincere gratitude attractsmore things to be thankful for. ,blessing
 New and exciting opportunities are always coming my way. ,blessing
 My thoughts are powerful and constructive. ,blessing
" I attract good fortune, wealth and prosperity.",blessing
 I attract great and helpful friends.,blessing
 I make friends with successful people.,blessing
 I cultivate a network of successful friends.,blessing
 I give generously to others. ,blessing
 I am blessed in every aspect of my life.,blessing
 I attract successful people who generously share with me.,blessing
 I am constantly offered great jobs.,blessing
 I attract all manner of good things to me. ,blessing
 I am a fortunate and blessed person.,blessing
 I expect the best and I get it.,blessing
 Whatever is good for me is coming to me easily and effortlessly. ,blessing
 I always get everything that is for my highest good. ,blessing
 Life always gives me what is best for me. ,blessing
 I deserve the best and it comes to me at the right time. ,blessing
 I attract my greatest good now. ,blessing
 My highest good is manifesting in my life right now. ,blessing
 I attract wonderful experiences. ,blessing
 I feel great joy and happiness.,blessing
 Miracles manifest every day in wondrous ways. ,blessing
 I am so happy and grateful that I am a magnet for miracles. ,blessing
 My life is propelled by a vision to make the world a better place. ,blessing
 I am extremely lucky in every area of my life. ,blessing
" I choose to behold a world of abundance, joy, and endless giving. ",blessing
 I deserve miracles. ,blessing
" I experience ease, joy, and lightness. ",blessing
 I celebrate the miracle of life every day. ,blessing
 I am blessed with perfect health. ,blessing
 Miracles are a natural part of living and giving. ,blessing
 My awareness of my wholeness attracts abundance into my life. ,blessing
 Everything miraculous is restored to me now. ,blessing
 My loving thoughts give me all that i want. ,blessing
 The brilliant light within me dispels all lack in my life. ,blessing
 I am experiencing wonderful miracles of love and friendship. ,blessing
 Today is full of miracles. ,blessing
 Great relationships come to me. ,blessing
 Divine health is mine. ,blessing
 I am divinely guided in all that I do. ,blessing
 My thoughts and actions are empowered with supernatural luck. ,blessing
 Miracles now follow miracles and God's blessings never cease.,blessing
All the cells of my body are rejuvenated and restored while I sleep.,sleep
"As I go to sleep, I give thanks for another fantastic day.",sleep
"As I lay down to sleep, a beautiful sense of deep relaxation fills my body.",sleep
"As I prepare to fall asleep, I relax in knowing that my mind is at peace.",sleep
"As soon as my head finds the pillow, I am off into a restful sleep.",sleep
Every night I relax through meditation and fall deeply and soundly asleep.,sleep
"Falling asleep is easy for me, I just turn off the light and drift away.",sleep
I always awaken rested and energized.,sleep
I always fall asleep quickly.,sleep
 I always get a good night’s sleep and wake up refreshed every morning.,sleep
 I always get the sleep I need.,sleep
" I always sleep soundly, no matter where I am. ",sleep
 I always sleep well.,sleep
 I always think happy thoughts as I am falling asleep.,sleep
 I am able to fall asleep in minutes.,sleep
 I am an early riser.,sleep
 I am a deep sleeper. ,sleep
 I awake each morning relaxed and refreshed.,sleep
 I can easily sleep anywhere I am.,sleep
 I drift off to peaceful sleep with great ease.,sleep
 I drift off to sleep very quickly.,sleep
 I fall asleep very fast.,sleep
 I give my body all the rest it needs.,sleep
 I happily allow myself to fall into a deep and satisfying sleep.,sleep
 I happily give my body all the rest it needs.,sleep
 I know exactly how much sleep my body needs to perform perfectly.,sleep
 I let my body rest whenever it needs it.,sleep
 I look after myself so well that I require very little sleep.,sleep
 I love waking up early every day.,sleep
 I make sure that I get as much sleep as my body needs.,sleep
 I need very little sleep because I look after myself when awake.,sleep
 I only take as much sleep as my body requires to maintain itself.,sleep
 I sleep easily and peacefully every night.,sleep
 I sleep in peace and awake invigorated.,sleep
 I sleep in tranquility and awaken revived.,sleep
 I sleep soundly and peacefully.,sleep
 I wake up each morning refreshed and transformed.,sleep
 I wake up early every day and feel refreshed and alive.,sleep
" I wake up easily, without an alarm clock.",sleep
 I wake up every morning feeling refreshed and renewed.,sleep
 My bed is comfortable and my sleep is restoring.,sleep
 My bedroom is a sanctuary for sleep.,sleep
 My body re-energizes itself while I am asleep.,sleep
 My dreams are always positive.,sleep
 My dreams are always uplifting.,sleep
 My dreams are intuitive and enlightening.,sleep
 My sleep is always restful. ,sleep
 My sleep is restful and I awake feeling rejuvenated.,sleep
 Simple relaxation is all I need to do to fall asleep easily.,sleep
 Six hours sleep is all I need to feel refreshed and alert the next day.,sleep
 Six hours sleep is all I need to maintain perfect health and focus.,sleep
" The more I relax, the more sleepy I feel.",sleep
" When I awake, I am filled with optimism and positive well-being.",sleep
" When I awake, I am full of energy and enthusiasm.",sleep
" When I awake, I feel rejuvenated and invigorated.",sleep
" When I go to bed, I allow my mind to release all negative emotions.",sleep
" When I go to bed, I fall asleep easily.",sleep
" When I go to bed, I let my mind and body become completely relaxed.",sleep
" When I lay down to sleep, I give thanks for another amazing day.",sleep
" When I lay down to sleep, I reflect on all the good things in my life.",sleep
" When I lay down to sleep, I think of all the positive things I did today.",sleep
" When I sleep, my body is healed, restored and filled with energy.",sleep
" While I sleep, my body repairs and rebuilds itself.",sleep
" While I sleep, my body rebuilds and regenerates itself with ease.",sleep
